rgn_id,sciname,iucn_sid,year,eval_yr,category
25,Balaenoptera musculus,2477,2019,2018,EN
25,Carcharhinus melanopterus,39375,2019,2009,NT
25,Cheilinus undulatus,4592,2019,2004,EN
25,Chelonia mydas,4615,2019,2004,EN
25,Dermochelys coriacea,6494,2019,2013,VU
25,Dermochelys coriacea,46967817,2019,2013,CR
25,Dermochelys coriacea,46967873,2019,NA,NA
25,Eretmochelys imbricata,8005,2019,2008,CR
25,Isurus oxyrinchus,39341,2019,2019,EN
25,Isurus paucus,60225,2019,2019,EN
25,Lepidochelys olivacea,11534,2019,2008,VU
25,Orcaella brevirostris,15419,2019,2017,EN
25,Orcaella brevirostris,44557,2019,2004,CR
25,Prionace glauca,39381,2019,2009,NT
25,Rhincodon typus,19488,2019,2016,EN
25,Steno bredanensis,20738,2019,2012,LC
25,Balaenoptera musculus,2477,2018,2018,EN
25,Carcharhinus melanopterus,39375,2018,2009,NT
25,Cheilinus undulatus,4592,2018,2004,EN
25,Chelonia mydas,4615,2018,2004,EN
25,Dermochelys coriacea,6494,2018,2013,VU
25,Dermochelys coriacea,46967817,2018,2013,CR
25,Dermochelys coriacea,46967873,2018,NA,NA
25,Eretmochelys imbricata,8005,2018,2008,CR
25,Isurus oxyrinchus,39341,2018,2009,VU
25,Isurus paucus,60225,2018,2006,VU
25,Lepidochelys olivacea,11534,2018,2008,VU
25,Orcaella brevirostris,15419,2018,2017,EN
25,Orcaella brevirostris,44557,2018,2004,CR
25,Prionace glauca,39381,2018,2009,NT
25,Rhincodon typus,19488,2018,2016,EN
25,Steno bredanensis,20738,2018,2012,LC
25,Balaenoptera musculus,2477,2017,2008,EN
25,Carcharhinus melanopterus,39375,2017,2009,NT
25,Cheilinus undulatus,4592,2017,2004,EN
25,Chelonia mydas,4615,2017,2004,EN
25,Dermochelys coriacea,6494,2017,2013,VU
25,Dermochelys coriacea,46967817,2017,2013,CR
25,Dermochelys coriacea,46967873,2017,NA,NA
25,Eretmochelys imbricata,8005,2017,2008,CR
25,Isurus oxyrinchus,39341,2017,2009,VU
25,Isurus paucus,60225,2017,2006,VU
25,Lepidochelys olivacea,11534,2017,2008,VU
25,Orcaella brevirostris,15419,2017,2017,EN
25,Orcaella brevirostris,44557,2017,2004,CR
25,Prionace glauca,39381,2017,2009,NT
25,Rhincodon typus,19488,2017,2016,EN
25,Steno bredanensis,20738,2017,2012,LC
25,Balaenoptera musculus,2477,2016,2008,EN
25,Carcharhinus melanopterus,39375,2016,2009,NT
