rgn_id,taxa_code,taxa_group,year,tonnes
25,Abalones nei_201,BI,2005,20
25,Abalones nei_201,BI,2006,20
25,Abalones nei_201,BI,2007,30
25,Abalones nei_201,BI,2008,30
25,Abalones nei_201,BI,2009,10
25,Abalones nei_201,BI,2010,5
25,Abalones nei_201,BI,2011,5
25,Abalones nei_201,BI,2012,5
25,Abalones nei_201,BI,2013,2
25,Abalones nei_201,BI,2014,2
25,Abalones nei_201,BI,2015,2
25,Abalones nei_201,BI,2016,2
25,Abalones nei_201,BI,2017,2
25,Banana prawn_202,SH,1976,50
25,Banana prawn_202,SH,1977,100
25,Banana prawn_202,SH,1978,2000
25,Banana prawn_202,SH,1979,3000
25,Banana prawn_202,SH,1980,4500
25,Banana prawn_202,SH,1981,6000
25,Banana prawn_202,SH,1982,5500
25,Banana prawn_202,SH,1983,7000
25,Banana prawn_202,SH,1984,8657
25,Banana prawn_202,SH,1985,10397
25,Banana prawn_202,SH,1986,11031
25,Banana prawn_202,SH,1987,8843
25,Banana prawn_202,SH,1988,9226
25,Banana prawn_202,SH,1989,8270
25,Banana prawn_202,SH,1990,7670
25,Banana prawn_202,SH,1991,5812
25,Banana prawn_202,SH,1992,4752
25,Banana prawn_202,SH,1993,3285
25,Banana prawn_202,SH,1994,3000
25,Banana prawn_202,SH,1995,1814
25,Banana prawn_202,SH,1996,1827
25,Banana prawn_202,SH,1997,1781
25,Banana prawn_202,SH,1998,2660
25,Banana prawn_202,SH,1999,2834
25,Banana prawn_202,SH,2000,3562
25,Banana prawn_202,SH,2001,4381
25,Banana prawn_202,SH,2002,2854
25,Banana prawn_202,SH,2003,2849
25,Banana prawn_202,SH,2004,1330
25,Banana prawn_202,SH,2005,508
25,Banana prawn_202,SH,2006,200
25,Banana prawn_202,SH,2007,338
25,Banana prawn_202,SH,2008,403
25,Banana prawn_202,SH,2009,358
25,Banana prawn_202,SH,2010,320
25,Banana prawn_202,SH,2011,271
25,Banana prawn_202,SH,2012,262
25,Banana prawn_202,SH,2013,222
25,Banana prawn_202,SH,2014,196
25,Banana prawn_202,SH,2015,237
25,Banana prawn_202,SH,2016,270
25,Banana prawn_202,SH,2017,244
25,Barramundi(=Giant seaperch)_203,F,1963,5
25,Barramundi(=Giant seaperch)_203,F,1964,10
25,Barramundi(=Giant seaperch)_203,F,1965,15
25,Barramundi(=Giant seaperch)_203,F,1966,22
25,Barramundi(=Giant seaperch)_203,F,1967,26
25,Barramundi(=Giant seaperch)_203,F,1968,31
25,Barramundi(=Giant seaperch)_203,F,1969,44
25,Barramundi(=Giant seaperch)_203,F,1970,44
25,Barramundi(=Giant seaperch)_203,F,1971,53
25,Barramundi(=Giant seaperch)_203,F,1972,62
25,Barramundi(=Giant seaperch)_203,F,1973,74
25,Barramundi(=Giant seaperch)_203,F,1974,88
25,Barramundi(=Giant seaperch)_203,F,1975,104
25,Barramundi(=Giant seaperch)_203,F,1976,124
25,Barramundi(=Giant seaperch)_203,F,1977,147
25,Barramundi(=Giant seaperch)_203,F,1978,175
25,Barramundi(=Giant seaperch)_203,F,1979,207
25,Barramundi(=Giant seaperch)_203,F,1980,176
25,Barramundi(=Giant seaperch)_203,F,1981,226
25,Barramundi(=Giant seaperch)_203,F,1982,181
25,Barramundi(=Giant seaperch)_203,F,1983,1084
25,Barramundi(=Giant seaperch)_203,F,1984,548
25,Barramundi(=Giant seaperch)_203,F,1985,584
25,Barramundi(=Giant seaperch)_203,F,1986,823
25,Barramundi(=Giant seaperch)_203,F,1987,1183
25,Barramundi(=Giant seaperch)_203,F,1988,1034
25,Barramundi(=Giant seaperch)_203,F,1989,1290
25,Barramundi(=Giant seaperch)_203,F,1990,1005
25,Barramundi(=Giant seaperch)_203,F,1991,1650
25,Barramundi(=Giant seaperch)_203,F,1992,2596
25,Barramundi(=Giant seaperch)_203,F,1993,2753
25,Barramundi(=Giant seaperch)_203,F,1994,3929
25,Barramundi(=Giant seaperch)_203,F,1995,3884
25,Barramundi(=Giant seaperch)_203,F,1996,4087
25,Barramundi(=Giant seaperch)_204,F,1997,52
25,Barramundi(=Giant seaperch)_203,F,1997,4038
25,Barramundi(=Giant seaperch)_204,F,1998,82
25,Barramundi(=Giant seaperch)_203,F,1998,6730
25,Barramundi(=Giant seaperch)_204,F,1999,280
25,Barramundi(=Giant seaperch)_203,F,1999,5776
25,Barramundi(=Giant seaperch)_204,F,2000,204
25,Barramundi(=Giant seaperch)_203,F,2000,7548
25,Barramundi(=Giant seaperch)_204,F,2001,243
25,Barramundi(=Giant seaperch)_203,F,2001,7761
25,Barramundi(=Giant seaperch)_204,F,2002,446
25,Barramundi(=Giant seaperch)_203,F,2002,10586
25,Barramundi(=Giant seaperch)_204,F,2003,1106
25,Barramundi(=Giant seaperch)_203,F,2003,11123
25,Barramundi(=Giant seaperch)_204,F,2004,1444
25,Barramundi(=Giant seaperch)_203,F,2004,12144
25,Barramundi(=Giant seaperch)_204,F,2005,1199
25,Barramundi(=Giant seaperch)_203,F,2005,13020
25,Barramundi(=Giant seaperch)_204,F,2006,1692
25,Barramundi(=Giant seaperch)_203,F,2006,13832
25,Barramundi(=Giant seaperch)_204,F,2007,1675
25,Barramundi(=Giant seaperch)_203,F,2007,10691
25,Barramundi(=Giant seaperch)_204,F,2008,1711
25,Barramundi(=Giant seaperch)_203,F,2008,11103
25,Barramundi(=Giant seaperch)_204,F,2009,1750
25,Barramundi(=Giant seaperch)_203,F,2009,13068
25,Barramundi(=Giant seaperch)_204,F,2010,1540
25,Barramundi(=Giant seaperch)_203,F,2010,11894
25,Barramundi(=Giant seaperch)_204,F,2011,1699
25,Barramundi(=Giant seaperch)_203,F,2011,14458
25,Barramundi(=Giant seaperch)_204,F,2012,1203
25,Barramundi(=Giant seaperch)_203,F,2012,18114
25,Barramundi(=Giant seaperch)_204,F,2013,1224
25,Barramundi(=Giant seaperch)_203,F,2013,15537
25,Barramundi(=Giant seaperch)_204,F,2014,1336
25,Barramundi(=Giant seaperch)_203,F,2014,15166
25,Barramundi(=Giant seaperch)_204,F,2015,1236
25,Barramundi(=Giant seaperch)_203,F,2015,16014
25,Barramundi(=Giant seaperch)_204,F,2016,1111
25,Barramundi(=Giant seaperch)_203,F,2016,16066
25,Barramundi(=Giant seaperch)_204,F,2017,1132
25,Barramundi(=Giant seaperch)_203,F,2017,16041
25,Blood cockle_205,BI,1950,5090
25,Blood cockle_205,BI,1951,5310
25,Blood cockle_205,BI,1952,5530
25,Blood cockle_205,BI,1953,5750
25,Blood cockle_205,BI,1954,5970
25,Blood cockle_205,BI,1955,6190
25,Blood cockle_205,BI,1956,6420
25,Blood cockle_205,BI,1957,6640
25,Blood cockle_205,BI,1958,6860
25,Blood cockle_205,BI,1959,7080
25,Blood cockle_205,BI,1960,7300
25,Blood cockle_205,BI,1961,7520
25,Blood cockle_205,BI,1962,7740
25,Blood cockle_205,BI,1963,7960
25,Blood cockle_205,BI,1964,8180
25,Blood cockle_205,BI,1965,8400
25,Blood cockle_205,BI,1966,8620
25,Blood cockle_205,BI,1967,8840
25,Blood cockle_205,BI,1968,9060
25,Blood cockle_205,BI,1969,9280
25,Blood cockle_205,BI,1970,11500
25,Blood cockle_205,BI,1971,12600
